"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-20",2023-04-20,"2023-05-20",20
"2","ild","2023-05-20",2023-04-20,"2023-05-20",20
"3","ssh","2023-05-20",2023-04-20,"2023-05-20",20
"4","sst","2023-05-20",2023-04-20,"2023-05-20",20
"5","su","2023-05-20",2023-04-20,"2023-05-20",20
"6","sv","2023-05-20",2023-04-20,"2023-05-20",20
"7","sustr","2023-05-20",2023-04-20,"2023-05-20",20
"8","svstr","2023-05-20",2023-04-20,"2023-05-20",20
"9","sst_sd","2023-05-20",2023-04-20,"2023-05-20",20
"10","ssh_sd","2023-05-20",2023-04-20,"2023-05-20",20
"11","curl","2023-05-20",2023-04-20,"2023-05-20",20
