"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-24",2023-03-25,"2023-04-24",23
"2","ild","2023-04-24",2023-03-25,"2023-04-24",23
"3","ssh","2023-04-24",2023-03-25,"2023-04-24",23
"4","sst","2023-04-24",2023-03-25,"2023-04-24",23
"5","su","2023-04-24",2023-03-25,"2023-04-24",23
"6","sv","2023-04-24",2023-03-25,"2023-04-24",23
"7","sustr","2023-04-24",2023-03-25,"2023-04-24",23
"8","svstr","2023-04-24",2023-03-25,"2023-04-24",23
"9","sst_sd","2023-04-24",2023-03-25,"2023-04-24",23
"10","ssh_sd","2023-04-24",2023-03-25,"2023-04-24",23
"11","curl","2023-04-24",2023-03-25,"2023-04-24",23
