"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-22",2023-03-23,"2023-04-22",25
"2","ild","2023-04-22",2023-03-23,"2023-04-22",25
"3","ssh","2023-04-22",2023-03-23,"2023-04-22",25
"4","sst","2023-04-22",2023-03-23,"2023-04-22",25
"5","su","2023-04-22",2023-03-23,"2023-04-22",25
"6","sv","2023-04-22",2023-03-23,"2023-04-22",25
"7","sustr","2023-04-22",2023-03-23,"2023-04-22",25
"8","svstr","2023-04-22",2023-03-23,"2023-04-22",24
"9","sst_sd","2023-04-22",2023-03-23,"2023-04-22",25
"10","ssh_sd","2023-04-22",2023-03-23,"2023-04-22",25
"11","curl","2023-04-22",2023-03-23,"2023-04-22",25
