"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2020-05-31",2020-05-01,"2020-05-31",31
"2","ild","2020-05-31",2020-05-01,"2020-05-31",31
"3","ssh","2020-05-31",2020-05-01,"2020-05-31",31
"4","sst","2020-05-31",2020-05-01,"2020-05-31",31
"5","su","2020-05-31",2020-05-01,"2020-05-31",31
"6","sv","2020-05-31",2020-05-01,"2020-05-31",31
"7","sustr","2020-05-31",2020-05-01,"2020-05-31",31
"8","svstr","2020-05-31",2020-05-01,"2020-05-31",31
"9","sst_sd","2020-05-31",2020-05-01,"2020-05-31",31
"10","ssh_sd","2020-05-31",2020-05-01,"2020-05-31",31
"11","curl","2020-05-31",2020-05-01,"2020-05-31",31
