"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-24",2023-04-24,"2023-05-24",24
"2","ild","2023-05-24",2023-04-24,"2023-05-24",24
"3","ssh","2023-05-24",2023-04-24,"2023-05-24",24
"4","sst","2023-05-24",2023-04-24,"2023-05-24",24
"5","su","2023-05-24",2023-04-24,"2023-05-24",24
"6","sv","2023-05-24",2023-04-24,"2023-05-24",24
"7","sustr","2023-05-24",2023-04-24,"2023-05-24",24
"8","svstr","2023-05-24",2023-04-24,"2023-05-24",24
"9","sst_sd","2023-05-24",2023-04-24,"2023-05-24",24
"10","ssh_sd","2023-05-24",2023-04-24,"2023-05-24",24
"11","curl","2023-05-24",2023-04-24,"2023-05-24",24
