"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-30",2023-03-31,"2023-04-30",19
"2","ild","2023-04-30",2023-03-31,"2023-04-30",19
"3","ssh","2023-04-30",2023-03-31,"2023-04-30",19
"4","sst","2023-04-30",2023-03-31,"2023-04-30",19
"5","su","2023-04-30",2023-03-31,"2023-04-30",19
"6","sv","2023-04-30",2023-03-31,"2023-04-30",19
"7","sustr","2023-04-30",2023-03-31,"2023-04-30",19
"8","svstr","2023-04-30",2023-03-31,"2023-04-30",19
"9","sst_sd","2023-04-30",2023-03-31,"2023-04-30",19
"10","ssh_sd","2023-04-30",2023-03-31,"2023-04-30",19
"11","curl","2023-04-30",2023-03-31,"2023-04-30",19
