"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-15",2023-03-16,"2023-04-15",30
"2","ild","2023-04-15",2023-03-16,"2023-04-15",30
"3","ssh","2023-04-15",2023-03-16,"2023-04-15",30
"4","sst","2023-04-15",2023-03-16,"2023-04-15",30
"5","su","2023-04-15",2023-03-16,"2023-04-15",30
"6","sv","2023-04-15",2023-03-16,"2023-04-15",29
"7","sustr","2023-04-15",2023-03-16,"2023-04-15",30
"8","svstr","2023-04-15",2023-03-16,"2023-04-15",29
"9","sst_sd","2023-04-15",2023-03-16,"2023-04-15",30
"10","ssh_sd","2023-04-15",2023-03-16,"2023-04-15",30
"11","curl","2023-04-15",2023-03-16,"2023-04-15",30
