"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-26",2023-03-27,"2023-04-26",22
"2","ild","2023-04-26",2023-03-27,"2023-04-26",22
"3","ssh","2023-04-26",2023-03-27,"2023-04-26",22
"4","sst","2023-04-26",2023-03-27,"2023-04-26",22
"5","su","2023-04-26",2023-03-27,"2023-04-26",22
"6","sv","2023-04-26",2023-03-27,"2023-04-26",22
"7","sustr","2023-04-26",2023-03-27,"2023-04-26",22
"8","svstr","2023-04-26",2023-03-27,"2023-04-26",22
"9","sst_sd","2023-04-26",2023-03-27,"2023-04-26",22
"10","ssh_sd","2023-04-26",2023-03-27,"2023-04-26",22
"11","curl","2023-04-26",2023-03-27,"2023-04-26",22
